Year,Fire,Explosion,Heat,Swelling,Venting
1995-2010,78,15,12,0,13
2011,19,4,3,3,3
2012,32,5,8,6,4
2013,31,28,3,3,5
2014,155,33,7,4,3
2015,192,73,1,1,10
2016,402,130,7,1,18
2017,553,65,16,2,32
2018,507,71,7,1,38
2019,686,76,5,1,34
2020,590,74,6,3,25
2021,1149,142,9,7,55
2022,2121,132,12,1,42
2023,1334,78,4,0,11
Total,7849,926,100,33,293

total - 2023 Additional,377,130,37,4,4,8,75,16,56,24,10,7,5
inj - 2023 Additional,153,64,22,1,3,9,5,5,21,7,12,3,0
fat - 2023 Additional,29,12,3,0,0,0,0,1,0,11,1,0,0
